member_id,branch_id,join_date,full_name,gender,age_group
M00001,B01,2024-05-23,Carlo Torres,F,25-34
M00002,B01,2024-07-18,Mark Flores,M,18-24
M00003,B01,2023-05-12,Mark Dela Cruz,F,45+
M00004,B01,2023-12-27,Ana Castillo,M,45+
M00005,B01,2022-10-22,Maria Bautista,F,25-34
M00006,B01,2024-10-19,Ramon Santos,F,25-34
M00007,B01,2023-03-11,Miguel Reyes,F,45+
M00008,B01,2022-10-09,Ana Mendoza,M,18-24
M00009,B01,2023-05-23,Miguel Belleza,M,25-34
M00010,B01,2024-03-31,Andrea Lopez,F,18-24
M00011,B01,2024-07-12,John Aquino,F,35-44
M00012,B01,2024-05-02,Joshua Fernandez,M,18-24
M00013,B01,2023-12-19,Mark Mendoza,F,25-34
M00014,B01,2024-10-08,Joshua Santos,M,35-44
M00015,B01,2022-09-23,Jose Navarro,M,18-24
M00016,B01,2024-06-08,Ana Lopez,F,25-34
M00017,B01,2022-11-29,Miguel Arcenas,M,18-24
M00018,B01,2023-01-27,Juan Castillo,F,25-34
M00019,B01,2023-01-30,Maria Santos,M,45+
M00020,B01,2024-06-05,Camille Castro,M,35-44
M00021,B01,2023-10-26,Mark Navarro,M,35-44
M00022,B01,2023-04-04,Andrea Lopez,M,25-34
M00023,B01,2024-06-11,Rafael Reyes,F,25-34
M00024,B01,2023-09-07,Jasmine Garcia,M,25-34
M00025,B01,2024-08-01,Kristine Belleza,M,18-24
M00026,B01,2023-07-24,Ana Villanueva,F,18-24
M00027,B01,2023-02-28,Trisha Arcenas,M,35-44
M00028,B01,2023-01-14,Miguel Villanueva,M,25-34
M00029,B01,2024-03-17,Bea Navarro,M,25-34
M00030,B01,2023-12-30,Trisha Garcia,M,25-34
M00031,B01,2023-11-20,Andrea Gonzales,F,35-44
M00032,B01,2023-09-28,Ramon Garcia,F,45+
M00033,B01,2024-11-06,Bea Lopez,F,25-34
M00034,B01,2022-12-30,Kevin Lopez,M,45+
M00035,B01,2023-03-09,Trisha Bautista,F,18-24
M00036,B01,2024-01-27,Erika Flores,M,45+
M00037,B01,2022-09-28,Juan Mendoza,F,18-24
M00038,B01,2024-09-26,Erika Dela Cruz,M,25-34
M00039,B01,2023-11-12,Luis Dela Cruz,M,25-34
M00040,B01,2023-12-06,Bea Torres,F,25-34
M00041,B01,2024-02-25,John Torres,M,25-34
M00042,B01,2024-01-21,Miguel Castro,M,25-34
M00043,B01,2022-10-21,John Cruz,M,18-24
M00044,B01,2023-04-17,Mark Fernandez,F,35-44
M00045,B01,2022-10-04,Nicole Bautista,M,35-44
M00046,B01,2022-08-21,Mark Flores,M,35-44
M00047,B01,2024-05-28,Paolo Garcia,M,25-34
M00048,B01,2023-05-22,Kevin Garcia,F,35-44
M00049,B01,2023-11-13,John Navarro,M,35-44
M00050,B01,2024-02-03,Patricia Gonzales,M,18-24
M00051,B01,2023-09-08,Miguel Flores,F,18-24
M00052,B01,2024-02-11,Bea Arcenas,F,35-44
M00053,B01,2023-11-21,Bea Navarro,F,18-24
M00054,B01,2022-12-01,Jasmine Cruz,M,35-44
M00055,B01,2024-07-08,Joshua Dela Cruz,M,35-44
M00056,B01,2023-12-21,Luis Reyes,F,18-24
M00057,B01,2023-08-10,Angel Dela Cruz,M,25-34
M00058,B01,2023-08-31,Joshua Dela Cruz,M,35-44
M00059,B01,2023-07-04,Andrea Torres,F,18-24
M00060,B01,2023-10-01,Luis Lopez,F,35-44
M00061,B01,2024-07-06,Mark Villanueva,F,35-44
M00062,B01,2022-10-03,Luis Torres,M,18-24
M00063,B01,2024-03-09,Maria Castro,M,18-24
M00064,B01,2023-07-05,Camille Gonzales,F,18-24
M00065,B01,2023-11-26,Ana Gonzales,F,25-34
M00066,B01,2022-09-10,Trisha Mendoza,M,18-24
M00067,B01,2023-09-21,Luis Mendoza,M,35-44
M00068,B01,2024-02-25,Patricia Ramos,F,18-24
M00069,B01,2022-07-28,Bea Castillo,F,25-34
M00070,B01,2023-11-16,Trisha Garcia,F,18-24
M00071,B01,2023-11-23,Bea Bautista,M,35-44
M00072,B01,2022-12-18,Angel Ramos,F,35-44
M00073,B01,2023-11-03,Ramon Belleza,F,25-34
M00074,B01,2023-12-03,Ramon Castro,M,18-24
M00075,B01,2023-06-19,Paolo Arcenas,M,35-44
M00076,B01,2023-11-15,Erika Navarro,M,25-34
M00077,B01,2023-03-17,Carlo Navarro,M,25-34
M00078,B01,2024-03-20,Mark Villanueva,M,25-34
M00079,B01,2023-11-30,Juan Santos,F,25-34
M00080,B01,2023-09-23,Paolo Lopez,M,18-24
M00081,B01,2023-11-06,Jose Dela Cruz,M,25-34
M00082,B01,2022-09-01,Maria Flores,F,18-24
M00083,B01,2024-02-08,Rafael Garcia,M,35-44
M00084,B01,2023-04-30,Bea Castillo,F,25-34
M00085,B01,2024-04-25,Juan Reyes,F,35-44
M00086,B01,2023-08-03,Jasmine Bautista,F,18-24
M00087,B01,2022-08-17,Carlo Reyes,F,25-34
M00088,B01,2023-04-15,Joshua Aquino,F,25-34
M00089,B01,2024-08-18,Ramon Villanueva,M,18-24
